Cement,Fine_Aggregates,Coarse_Aggregates,Water,Water_reducing_Admixture,Fly_Ash,Accelerating_Agent,Silica_Fume,Time,Strength
330,768,1061,169,4.94,82,0,0,7,37.9
354,743,1070,164,5.32,89,0,0,7,44.5
314,790,1048,169,4.72,79,0,0,7,34.2
346,759,1049,169,5.2,87,0,0,7,38.3
322,783,1038,177,6.03,80,0,0,7,31.9
294,802,1062,169,4.4,73,0,0,7,33.9
322,772,1067,169,4.82,80,0,0,7,38.8
346,748,1076,164,6.05,86,0,0,7,42.7
307,794,1053,169,4.61,77,0,0,7,34
338,764,1055,169,5.06,84,0,0,7,39
314,787,1043,177,5.9,79,0,0,7,33.2
440,820,820,220,0,0,30.8,0,7,22.2
489,796,796,220,0,0,34.23,0,7,25.6
301,798,1057,169,4.51,75,0,0,7,30.9
322,819,1002,177,6.03,80,0,0,7,32.2
194,765,1147,179,3.37,65,0,0,7,16.8
221,854,1044,177,3.54,74,0,0,7,21.2
260,833,1060,172,3.9,65,0,0,7,26.2
334,768,1061,169,5.23,68,0,0,7,36.8
359,745,1073,169,6.5,74,0,0,7,41.8
307,794,1053,169,4.61,77,0,0,7,33
350,760,1049,169,5.49,72,0,0,7,39.1
314,825,1009,173,5.9,79,0,0,7,31.2
301,816,1039,169,4.51,75,0,0,7,31.6
334,786,1043,169,5.23,68,0,0,7,36.3
351,751,1081,165,6.34,72,0,0,7,41.1
197,859,1049,179,3.42,66,0,0,7,15.7
221,854,1044,177,3.54,74,0,0,7,21
260,700,1193,172,3.9,65,0,0,7,25.9
494,683,1115,158,7.41,0,0,0,7,53.3
470,693,1130,157,7.05,0,0,0,7,52.2
352,803,981,176,6.6,88,0,0,7,40.5
331,815,997,174,6.21,83,0,0,7,39
353,715,1072,172,5.733,88,0,0,7,39.7
386,729,1049,168,5.902,68,0,0,7,43.2
305,816,1039,164,4.953,76,0,0,7,37.9
262,790,1092,168,4.55,88,0,0,7,32.8
247,838,1064,168,4.277,82,0,0,7,28.7
346,807,987,173,6.495,87,0,0,7,37.7
328,818,1000,172,6.15,82,0,0,7,33.7
367,749,1034,170,6.258,80,0,0,7,48.5
336,761,1051,168,5.46,84,0,0,7,47.7
305,816,1039,164,4.953,76,0,0,7,41.9
491,719,1078,157,7.365,0,0,0,7,55.9
278,810,1073,170,4.511,69,0,0,7,38.2
247,837,1066,168,3.948,82,0,0,7,29.3
206,890,1088,171,3.012,45,0,0,7,22.8
245,1510,0,290,0,0,0,0,7,8.2
275,1510,0,285,0,0,0,0,7,10.4
315,1510,0,280,0,0,0,0,7,15.9
343,814,1035,163,5.852,75,0,0,7,45.6
303,821,1046,163,5.18,67,0,0,7,38.4
199,893,1049,175,2.92,44,0,0,7,11.8
497,753,1041,159,7.455,0,0,0,7,59
481.8181818,742,1067,159,7.215,0,0,0,7,58.6
365,786,1042,163,6.006,64,0,0,7,41.6
491,717,1075,157,7.365,50,0,0,7,52.8
491,735,1057,157,7.365,0,0,0,7,51.6
305,798,1057,164,4.953,76,0,0,7,41.36666667
328,782,1036,172,6.15,82,0,0,7,37.23333333
354,748,1032,177,6.645,89,0,0,7,39.13333333
383,739,1063,167,5.863,68,0,0,7,44.73333333
344,809,989,172,6.45,86,0,0,7,41.13333333
328,818,1000,172,6.15,82,0,0,7,32.73333333
328,836,982,172,5.74,82,0,0,7,41.8
298,874,985,168,5.222,75,0,0,7,34.93333333
347,822,966,178,6.51,87,0,0,7,37.6
330,835,980,173,6.18,82,0,0,7,35.86666667
285,862,1011,171,4.628,71,0,0,7,27.46666667
265,892,1005,172,4.303,66,0,0,7,22.53333333
238,924,1002,176,3.874,60,0,0,7,18.63333333
226,935,1012,170,3.679,57,0,0,7,13.6
350,819,1002,171,6.132,88,0,0,7,42.5
494,713,1071,163,7.41,0,0,0,7,49.86666667
346,807,1027,164,6.048,86,0,0,7,45.16666667
318,828,1011,163,5.575,80,0,0,7,39.53333333
289,865,1015,159,5.054,72,0,0,7,35.7
357,746,1073,165,5.798,89,0,0,7,44.9
356,819,1000,166,6.23,89,0,0,7,45.4
497,696,1088,159,7.455,0,0,0,7,49.3
252,936,975,172,3.267,45,0,0,7,18.03333333
263,911,987,173,3.708,46,0,0,7,22.6
283,873,1024,170,4.329,50,0,0,7,28.53333333
308,859,1009,170,4.344,54,0,0,7,30.16666667
328,867,977,170,5.404,58,0,0,7,40.2
354,850,958,175,6.255,63,0,0,7,41.3
348,859,969,172,5.74,62,0,0,7,41.73333333
374,866,938,176,6.16,66,0,0,7,40.33333333
385,790,1005,172,6.342,68,0,0,7,47.3
400,869,979,172,6,0,0,0,7,43.56666667
491,715,1072,162,6.383,0,0,0,7,49.6
358,795,1054,160,5.473,63,0,0,7,43.1
